id,name,year,glottocode,map_name_full,note
1,Ampari,2004,ampa1238,Map 1. Dogon Language Areas,
2,Bondum don,2004,bond1252,Map 1. Dogon Language Areas,
3,Bãngeri me,2004,bang1363,Map 1. Dogon Language Areas,
4,Dogo dum,2004,dogu1235,Map 1. Dogon Language Areas,
5,Donno so,2004,donn1239,Map 1. Dogon Language Areas,
6,Dulen dom,2004,,Map 1. Dogon Language Areas,
7,Jamsay tegu,2004,jams1239,Map 1. Dogon Language Areas,
8,Korandebo,2004,,Map 1. Dogon Language Areas,
9,Mombo,2004,momb1254,Map 1. Dogon Language Areas,
10,Nangam,2004,nang1261,Map 1. Dogon Language Areas,
11,Oru Yille,2004,tebu1239,Map 1. Dogon Language Areas,
12,Tengu kan,2004,teng1266,Map 1. Dogon Language Areas,
13,Togo kan,2004,togo1254,Map 1. Dogon Language Areas,
14,Tommò sò,2004,tomm1242,Map 1. Dogon Language Areas,
15,Tomo kan,2004,tomo1243,Map 1. Dogon Language Areas,
16,Tòrò sò,2004,toro1252,Map 1. Dogon Language Areas,
17,Tòrò tegu,2004,toro1253,Map 1. Dogon Language Areas,
